themename,themepercent,themenamecodename,code,snname,sncode
Infrastructure services for private sector development,49,Infrastructure services for private sector development,39,Wastewater Collection and Transportation,WT
Infrastructure services for private sector development,49,Infrastructure services for private sector development,39,Sub-national government administration,BH
Natural disaster management,66,Natural disaster management,52,Flood protection,WD
Natural disaster management,66,Natural disaster management,52,Animal production,AJ
Natural disaster management,66,Natural disaster management,52,Other social services,JB
Natural disaster management,66,Natural disaster management,52,Housing construction,YC
Natural disaster management,66,Natural disaster management,52,Sub-national government administration,BH
Natural disaster management,66,Rural services and infrastructure,78,Flood protection,WD
Natural disaster management,66,Rural services and infrastructure,78,Animal production,AJ
Natural disaster management,66,Rural services and infrastructure,78,Other social services,JB
Natural disaster management,66,Rural services and infrastructure,78,Housing construction,YC
Natural disaster management,66,Rural services and infrastructure,78,Sub-national government administration,BH
Natural disaster management,66,Rural non-farm income generation,76,Flood protection,WD
Natural disaster management,66,Rural non-farm income generation,76,Animal production,AJ
Natural disaster management,66,Rural non-farm income generation,76,Other social services,JB
Natural disaster management,66,Rural non-farm income generation,76,Housing construction,YC
Natural disaster management,66,Rural non-farm income generation,76,Sub-national government administration,BH
Rural services and infrastructure,70,Rural services and infrastructure,78,"General water, sanitation and flood protection sector",WZ
Rural services and infrastructure,70,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,70,Rural services and infrastructure,78,Sub-national government administration,BH
Rural services and infrastructure,70,Rural services and infrastructure,78,Other Renewable Energy,LR
Rural services and infrastructure,70,Rural services and infrastructure,78,Transmission and Distribution of Electricity,LT
